Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Low & Middle income,LMY,CO2 emissions (kt),2392140.804,2084427.019,1994210.11,2056677.984,2160225.588,2342419.832,2530371.43,2491762.282,2729609.043,3031341.282,3476847.288,3794934.563,4001923.868,4286438.515,4437771.627,4772271.183,5066031.79,5404831.001,5838336.072,6094012.398,6127405.63,6165977.734,6532509.153,6776375.609,7118209.537,7558260.521,7895142.471,8329288.52,8804411.757,9059157.815,9049707.649,9415658.743,9759975.556,9819467.604,9743066.236,10103732.66,10388408.47,10375198.67,10263818.23,10459326.48,10732383.04,10963513.93,11411777.14,12485491.62,13476468.44,14372352.22,15318994.95,16077804.77,17098046.61,17502324.82,18617850.06,20095357.53,20833063.41,20944540.17,21213767.27
Middle income,MIC,CO2 emissions (kt),2359912.958,2054018.065,1962322.673,2025215.021,2124837.096,2305181.103,2490017.462,2451296.576,2667898.655,2974245.166,3422625.267,3733760.147,3944052.529,4222973.088,4372455.007,4703989.175,4993327.262,5328622.373,5758585.783,5998618.76,6033864.166,6063663.274,6432303.525,6666929.793,6998667.561,7439336.933,7773659.289,8196072.536,8666755.928,8923467.131,8912772.48,9271338.954,9614520.846,9673714.478,9600893.35,9959468.458,10239110.13,10225611.51,10107004.25,10291408.29,10560217.79,10787174.34,11248079.51,12299704.6,13288052.28,14177665.71,15114900.73,15869351.07,16875034.19,17278424.78,18392991.7,19887373.56,20633669.44,20750667.35,21011743.32
High income,HIC,CO2 emissions (kt),5713366.066,5838410.405,6109990.312,6452882.159,6782010.521,7081545.937,7391949.92,7720671.805,8131701.254,8656315.636,9411515.013,9601897.38,10084808.61,10612161.65,10363787.63,10030912.65,10576587.7,10800047.24,11080383.3,11379639.93,11141826.99,10691246.78,10290339.73,10265166.96,10541259.73,10659928.41,10697031.59,10991289.14,11393299.68,11688024.6,11450105.43,11593991.34,11726314.76,11896944.52,12053969.75,12137213.81,12470561.23,12564558.08,12565002.75,12745738.5,13165354.44,13128054.1,13211555.41,13409151.65,13637165.12,13654444.55,13676677.76,13753428.25,13583464.43,12871104.72,13321124.82,13093975.98,12965718.53,12947592.31,12939717.41
